url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date,transaction_type
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21816181,ქუთაისი,63000.0,1050.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბალანჩივაძის ქ.,60.0,2025-07-12 15:26,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21815889,ქუთაისი,295.0,6.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თბილისის ქ. 68,50.0,2025-07-12 15:01,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-qutaisshi-21815560,ქუთაისი,129.0,6.0,ქირავდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ასათაინი ლ. ქუჩა 50,20.0,2025-07-12 14:28,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21815163,ქუთაისი,90000.0,1000.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ხანძთელი გრ. ქ.,90.0,2025-07-12 13:48,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21814515,ქუთაისი,63000.0,1050.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბალანჩივაძის ქ.,60.0,2025-07-12 12:41,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21814069,ქუთაისი,350.0,10.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თამარ მეფის ქ.,35.0,2025-07-12 11:51,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21813794,ქუთაისი,55000.0,1058.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ჭავჭავაძე ზ. ქ. 20,52.0,2025-07-12 10:56,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21813773,ქუთაისი,48000.0,640.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ჭავჭავაძე ზ. ქ. 48,75.0,2025-07-12 10:49,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21813762,ქუთაისი,368.0,5.0,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აბაშიძე ი. ქ. 6,75.0,2025-07-12 10:46,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21813757,ქუთაისი,120000.0,1412.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,წერეთლის ქუჩა 111,85.0,2025-07-12 10:43,იყიდება
